20223991,Colleen Hoang,24/12/2004,25/5/2025
20224212,Le Anh Vuong,23/4/2004,25/5/2025
20224018,Kevin De Bruyne,28/6/2004,25/5/2025
20233907,Kylian Mbappe,20/12/2005,25/5/2025
20244365,Erling Haaland,21/7/2006,25/5/2025
20225112,Phil Foden,28/5/2004,25/5/2025
20234477,Lamine Yamal,13/7/2005,25/5/2025
20244771,Antony Dos Santos,24/2/2006,25/5/2025
20234203,Robert Lewandowski,21/8/2005,25/5/2025
20223003,Harry Maguire,5/3/1993,29/5/2025
20214335,Thiago Silva,22/9/2003,2/6/2025
20232870,Nguyen Cong Phuong,21/1/2005,2/6/2025
